Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Land Girls,146083,146083,NA,8000000.0,12-Jun-98,R,NA,Gramercy,NA,NA,NA,NA,NA,6.1,1071.0
"First Love, Last Rites",10876,10876,NA,300000.0,07-Aug-98,R,NA,Strand,NA,Drama,NA,NA,NA,6.9,207.0
I Married a Strange Person,203134,203134,NA,250000.0,28-Aug-98,NA,NA,Lionsgate,NA,Comedy,NA,NA,NA,6.8,865.0
Let's Talk About Sex,373615,373615,NA,300000.0,11-Sep-98,NA,NA,Fine Line,NA,Comedy,NA,NA,13.0,NA,NA
Slam,1009819,1087521,NA,1000000.0,09-Oct-98,R,NA,Trimark,Original Screenplay,Drama,Contemporary Fiction,NA,62.0,3.4,165.0
Mississippi Mermaid,24551,2624551,NA,1600000.0,15-Jan-99,NA,NA,MGM,NA,NA,NA,NA,NA,NA,NA
Following,44705,44705,NA,6000.0,04-Apr-99,R,NA,Zeitgeist,NA,NA,NA,Christopher Nolan,NA,7.7,15133.0
Foolish,6026908,6026908,NA,1600000.0,09-Apr-99,R,NA,Artisan,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,3.8,353.0
Pirates,1641825,6341825,NA,40000000.0,01-Jul-86,R,NA,NA,NA,NA,NA,Roman Polanski,25.0,5.8,3275.0
Duel in the Sun,20400000,20400000,NA,6000000.0,31-Dec-46,NA,NA,NA,NA,NA,NA,NA,86.0,7.0,2906.0
Tom Jones,37600000,37600000,NA,1000000.0,07-Oct-63,NA,NA,NA,NA,NA,NA,NA,81.0,7.0,4035.0
Oliver!,37402877,37402877,NA,10000000.0,11-Dec-68,NA,NA,Sony Pictures,NA,Musical,NA,NA,84.0,7.5,9111.0
To Kill A Mockingbird,13129846,13129846,NA,2000000.0,25-Dec-62,NA,NA,Universal,NA,NA,NA,NA,97.0,8.4,82786.0
"Tora, Tora, Tora",29548291,29548291,NA,25000000.0,23-Sep-70,NA,NA,NA,NA,NA,NA,Richard Fleischer,NA,NA,NA
Hollywood Shuffle,5228617,5228617,NA,100000.0,01-Mar-87,NA,NA,NA,NA,NA,NA,NA,87.0,6.8,1532.0
Over the Hill to the Poorhouse,3000000,3000000,NA,100000.0,17-Sep-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson,2000000,2000000,NA,5200000.0,01-Aug-44,NA,NA,NA,NA,NA,NA,NA,NA,7.0,451.0
